NAICS
4431
4461
4471
4481
4482
4483
4511
4512
4531
4532
5121
5122
5151
5172
5179
5182
5191
5221
5259
5331
5411
5412
5413
5414
5415
5416
5417
5418
5222
5223
5231
5232
5239
5241
5242
5251
5511
5615
5616
6111
6112
6113
6114
6115
6116
6117
6211
6212
6213
6214
6215
